TEXT;predicted_label
Sistem operasi Windows banyak digunakan.;Netral
Linux adalah sistem operasi open source.;Netral
MacOS dikenal dengan tampilannya yang elegan.;Netral
Android adalah sistem operasi mobile populer.;Netral
iOS eksklusif hanya untuk produk Apple.;Netral
Browser Chrome sangat cepat menjelajah web.;Positif
Firefox adalah alternatif browser yang bagus.;Netral
Microsoft Edge sekarang berbasis Chromium.;Netral
Safari adalah browser bawaan perangkat Mac.;Netral
Opera punya fitur VPN bawaan gratis.;Netral
Antivirus melindungi komputer dari malware.;Netral
Firewall menjaga keamanan jaringan internal.;Netral
Encryption mengamankan pesan agar tidak dibaca.;Negatif
VPN menyembunyikan alamat IP asli kita.;Netral
Cookie digunakan untuk menyimpan preferensi user.;Netral
Cache mempercepat loading halaman website.;Netral
API memungkinkan dua aplikasi berkomunikasi.;Netral
Database menyimpan data secara terstruktur.;Netral
Framework mempercepat proses pembuatan web.;Netral
Library menyediakan fungsi-fungsi siap pakai.;Netral
Compiler mengubah kode menjadi bahasa mesin.;Netral
Debugger membantu mencari kesalahan kode.;Negatif
Version control mengelola perubahan kode.;Netral
Deployment merilis aplikasi ke server.;Netral
Hosting adalah tempat menyimpan file website.;Netral
Domain adalah alamat unik sebuah website.;Netral
SSL sertifikat mengamankan transaksi web.;Netral
CMS memudahkan pembuatan konten website.;Netral
LMS digunakan untuk kelas online sekolah.;Netral
CRM membantu mengelola data pelanggan.;Netral
Saya suka minum teh hijau tanpa gula.;Netral
Olahraga lari membuat jantung lebih sehat.;Positif
Yoga membantu menenangkan pikiran dan tubuh.;Positif
Membaca buku adalah jendela dunia.;Netral
Menonton film di bioskop punya sensasi beda.;Netral
Mendengarkan musik jazz sangat merilekskan.;Positif
Bermain alat musik gitar itu sangat asyik.;Positif
Memasak masakan sendiri jauh lebih hemat.;Negatif
Berkebun di halaman rumah sangat menyenangkan.;Positif
Fotografi adalah hobi yang menangkap momen.;Netral
Traveling ke tempat baru memperluas wawasan.;Netral
Camping di hutan pinus terasa sangat damai.;Positif
Mendaki gunung melatih kesabaran dan fisik.;Netral
Berenang di laut biru sangat menyegarkan.;Positif
Surfing menantang adrenalin di tengah ombak.;Positif
Skateboarding butuh keseimbangan yang baik.;Netral
Bermain sepak bola adalah olahraga tim.;Netral
Basket membutuhkan koordinasi mata dan tangan.;Netral
Bulutangkis sangat populer di Indonesia.;Positif
Tenis lapangan adalah olahraga yang elegan.;Netral
Catur mengasah strategi dan kemampuan otak.;Netral
Video game bisa menjadi media belajar juga.;Netral
Menggambar ilustrasi digital butuh kreativitas.;Netral
Menulis jurnal harian membantu refleksi diri.;Netral
Meditasi rutin bisa mengurangi tingkat stres.;Netral
Tidur yang cukup penting untuk kesehatan.;Positif
Minum air putih minimal dua liter sehari.;Netral
Makan sayuran hijau kaya akan serat.;Netral
Buah-buahan mengandung banyak vitamin alami.;Netral
Menjaga pola makan itu investasi masa depan.;Netral
Pakaian warna pastel sedang menjadi tren.;Netral
Gaya minimalis membuat hidup lebih simpel.;Positif
Dekorasi rumah gaya scandinavian sangat hits.;Positif
Tanaman indoor mempercantik ruang tamu.;Netral
Nasi goreng adalah makanan favorit sejuta umat.;Netral
Sate ayam bumbu kacang rasanya juara.;Positif
Soto Lamongan punya kuah yang sangat segar.;Positif
Bakso urat rasanya sangat gurih dan nikmat.;Positif
Gado-gado adalah salad khas Indonesia.;Netral
Pempek Palembang punya cuka yang pedas.;Netral
Rendang daging sapi bumbunya sangat meresap.;Positif
Gudeg Jogja rasanya manis dan otentik.;Positif
Mie Aceh punya rempah yang sangat kuat.;Positif
Ayam Betutu khas Bali sangat pedas nikmat.;Positif
Papeda adalah makanan pokok daerah timur.;Netral
Es teler sangat cocok dinikmati saat panas.;Positif
Kopi luwak adalah kopi termahal di dunia.;Netral
Teh tarik punya rasa yang sangat unik.;Positif
Jus alpukat dengan coklat sangat menggoda.;Positif
Martabak manis topping keju coklat wijen.;Netral
Pisang goreng kipas renyah sekali teksturnya.;Positif
Klepon adalah jajanan pasar yang pecah di mulut.;Negatif
Lapis legit butuh ketelatenan saat membuatnya.;Netral
Bika Ambon punya tekstur yang berserat.;Netral
Rujak buah bumbu kacang sangat menyegarkan.;Positif
Seblak Bandung pedasnya bikin ketagihan.;Positif
Cimol dan cilok adalah jajanan favorit sd.;Netral
Batagor ikan tenggiri bumbunya mantap.;Positif
Kerak telor adalah makanan khas Betawi.;Netral
Es pisang ijo sangat enak untuk berbuka.;Positif
Tahu bulat digoreng dadakan lima ratusan.;Negatif
Nasi uduk harum santan dan bawang goreng.;Positif
Bubur ayam diaduk atau tidak tetap enak.;Negatif
Ketoprak bumbu kacangnya sangat kental.;Positif
Lontong sayur menu sarapan yang mengenyangkan.;Positif
Rawon dengan kuah hitam yang khas.;Netral
Opor ayam selalu ada saat hari raya.;Positif
Kue kering nastar favorit saat Lebaran.;Netral
Kastengel keju sangat gurih dan renyah.;Positif
Putri salju manis dingin di lidah.;Positif
Lidah kucing bentuknya tipis dan garing.;Negatif
Semprit bunga cantik warnanya kuning.;Netral
Kue talam punya tekstur lembut dan kenyal.;Positif
Kue cucur manis gula merah dan berserat.;Netral
Onde-onde isi kacang hijau tabur wijen.;Netral
Nagarsari isi pisang dibungkus daun pisang.;Netral
Lemper ayam camilan yang sangat padat.;Positif
Risoles ragout ayam atau isi mayonaise.;Netral
Pastel goreng isi sayur dan telur.;Netral
Tahu isi pedas atau tahu jeletot.;Negatif
Bakwan sayur garing dimakan pakai cabe.;Negatif
Tempe mendoan hangat bumbu kecap pedas.;Netral
Pisang coklat lumer saat digigit panas.;Positif
Kebab daging sapi dengan sayur segar.;Netral
Burger dengan daging patty yang juicy.;Positif
Pizza topping pepperoni dan keju mozarella.;Positif
Spaghetti bolognese bumbu tomat yang asam.;Positif
Fettuccine carbonara saus putih yang creamy.;Positif
Lasagna lapisan pasta dengan daging cincang.;Netral
Steak daging wagyu tingkat kematangan medium.;Netral
Sushi salmon dengan wasabi yang menyengat.;Negatif
Ramen kuah kaldu tulang yang sangat gurih.;Positif
Takoyaki isi gurita tabur katsuobushi.;Negatif
Okonomiyaki martabak ala jepang yang besar.;Positif
Bibimbap nasi campur korea yang sehat.;Positif
Tteokbokki kue beras saus gochujang pedas.;Negatif
Bulgogi daging iris tipis bumbu manis.;Netral
Kimchi sawi putih yang difermentasi.;Netral
Pad thai mie goreng khas Thailand.;Netral
Tom yum kuah asam pedas dengan udang.;Positif
Mango sticky rice pencuci mulut yang manis.;Positif
Croissant roti prancis yang berlapis-lapis.;Netral
Macaroon kue kecil warna-warni yang imut.;Positif
Cheesecake tekstur lembut keju yang terasa.;Positif
Tiramisu aroma kopi dan taburan coklat.;Netral
Pancake dengan sirup maple dan mentega.;Netral
Waffle renyah dengan es krim di atasnya.;Positif
Gelato es krim ala italia yang padat.;Positif
Sorbet buah dingin tanpa campuran susu.;Netral
Smoothies bowl dengan topping granola.;Netral
Matcha latte rasa teh hijau yang pekat.;Positif
Hot chocolate di malam hari yang dingin.;Negatif
Cappuccino dengan foam susu yang tebal.;Netral
Espresso shot kopi kecil yang sangat pahit.;Negatif
Latte art gambar di atas kopi yang indah.;Positif
Americano kopi hitam tanpa gula dan susu.;Negatif
Mochaccino perpaduan kopi dan coklat.;Netral
Iced coffee gula aren sedang sangat viral.;Positif
Infused water dengan irisan lemon dan mint.;Netral
Lemon tea segar diminum saat siang terik.;Netral
Yoghurt drink baik untuk pencernaan tubuh.;Netral
Milkshake strawberry rasa susu yang kental.;Positif
Soda gembira campuran susu dan sirup merah.;Netral
Es kelapa muda langsung dari batoknya.;Netral
Cendol dawet gula merah dan santan gurih.;Positif
Es doger dengan pacar cina dan tape.;Negatif
Bandrek minuman hangat jahe dan rempah.;Netral
Bajigur minuman santan dan gula aren.;Netral
Wedang ronde bola-bola ketan isi kacang.;Netral
Wedang jahe menghangatkan badan saat hujan.;Positif
Susu jahe enak diminum sebelum tidur.;Positif
Kunyit asam jamu tradisional yang segar.;Netral
Beras kencur jamu untuk stamina tubuh.;Netral
Teh botol kemasan praktis dibawa-bawa.;Netral
Air mineral kemasan gelas atau botol.;Netral
Sirup melon dicampur air es segar.;Netral
Es batu kristal lebih jernih dan bersih.;Positif
Garam laut punya rasa asin yang berbeda.;Netral
Gula pasir putih atau gula merah coklat.;Netral
Minyak goreng kelapa atau minyak zaitun.;Netral
Tepung terigu protein tinggi untuk roti.;Netral
Mentega atau margarin untuk bahan kue.;Netral
Susu kental manis untuk topping makanan.;Netral
Keju cheddar parut atau keju lembaran.;Netral
Coklat batang yang dilelehkan untuk saus.;Netral
Selai kacang atau selai buah strawberry.;Netral
Madu alami sebagai pemanis yang sehat.;Netral
Saus sambal pedas atau saus tomat.;Netral
Kecap manis kedelai hitam pilihan.;Netral
Cuka apel untuk campuran salad buah.;Netral
Bawang merah dan bawang putih ditumis.;Netral
Cabai rawit kecil tapi sangat pedas.;Positif
Merica bubuk menambah rasa hangat masakan.;Positif
Ketumbar bubuk untuk bumbu ayam goreng.;Netral
Kunir bubuk pemberi warna kuning alami.;Netral
Jahe diparut untuk bumbu masak ikan.;Netral
Lengkuas digeprek untuk aroma masakan.;Netral
Sereh diikat untuk pengharum kuah soto.;Netral
Daun salam dan daun jeruk purut.;Netral
Kayu manis untuk aroma kue yang wangi.;Positif
Cengkeh rempah asli dari Maluku.;Netral
Bunga lawang bumbu rahasia masakan gulai.;Netral
